Elementos = 1024
Métodos                Ordenado                                                         Reverso                                                          Randômico                                                
                       Comp Prog *  Comp Equa #  Mov Prog +   Mov Equa -   Tempo        Comp Prog *  Comp Equa #  Mov Prog +   Mov Equa -   Tempo        Comp prog *  Comp equa #  Mov Prog +   Mov Equa -   Tempo        
Inserção Direta          1023         1023         1023         3069         9.0          524799       262399       524799       525822       4867.0       270736       262399       270736       264445       2300.0    
Inserção Binária         10250        7234         1023         3069         36.0         9236         7234         524799       525822       4477.0       9872         7234         270905       264445       3435.0     
Seleção Direta           524800       523776       2048         3069         2417.0       524800       523776       2048         265213       2470.0       524800       523776       2048         7688         3053.0     
Bubble                   523776       523776       0            0            4615.0       523776       523776       1047552      785664       7626.0       523776       523776       539426       1571328      7242.0     
Shake                    523776       523776       0            0            4024.0       523776       523776       1047552      785664       7296.0       523776       523776       520238       1571328      4998.0  
Shell                    8539         0            0            0            105.0        13321        0            9564         0            239.0        16047        0            15016        0            401.0  
Heap                     524288       0            18684        0            4787.0       524288       0            16916        0            6176.0       524288       0            18444        0            4599.0     
Quick c/ Pivô            9228         0            1024         0            51.0         9238         0            2048         0            59.0         12971        0            5954         0            130.0      
Quick s/ Pivô            524799       0            2046         0            2642.0       525311       0            3070         0            2646.0       16126        0            8876         0            200.0      
Merge 1                  9217         0            10240        0            384.0        9217         0            10240        0            386.0        8956         0            10240        0            397.0      
Merge 2                  5120         0            10240        0            458.0        5120         0            10240        0            661.0        8961         0            10240        0            725.0      
Counting                 0            0            1024         0            183.0        0            0            1024         0            185.0        0            0            1024         0            201.0      
Bucket                   395779       0            396803       0            41.0         4096         0            5120         0            43.0         200200       0            201224       0            80.0       
Radix                    0            0            4096         0            369.0        0            0            4096         0            373.0        0            0            4096         0            350.0      
Comb                     19168        0            0            0            247.0        20191        0            3284         0            281.0        22237        0            8350         0            506.0      
Gnome                    1023         0            0            0            13.0         524799       0            1047552      0            12463.0      273916       0            545786       0            3997.0     
Tim                      0            0            0            0            268.0        0            0            0            0            597.0        0            0            0            0            450.0         
